"full_name","gender","mfa_degree","role","prize_year","prize_name","prize_amount","prize_institution","prize_type","prize_genre","given_name","last_name","author_wikidata","author_wikidata_label","author_viaf","author_lccn","elite_institution","graduate_degree","iowa_mfa_person_id","stegner","title_of_winning_book"
"Thomas McGrath","male","","winner","1989","Lenore Marshall Poetry Prize","25,000","Academy of American Poets","book","poetry","Thomas","McGrath","Q7792306","Thomas McGrath","64041886","n79026874","","graduate","","","Selected Poems, 1938-1988"
"Richard Kenney","male","","judge","1989","Lenore Marshall Poetry Prize","25,000","Academy of American Poets","book","poetry","Richard","Kenney","Q7327047","Richard Kenney","77694612","n83168086","Dartmouth College","","","","Selected Poems, 1938-1988"
"Richard Wilbur","male","","winner","1989","Pulitzer Prize","15,000","Columbia University","book","poetry","Richard","Wilbur","Q1333582","Richard Wilbur","14804371","n79007244","Harvard University","graduate","","","New And Collected Poems"
"George Core","male","","judge","1989","Pulitzer Prize","15,000","Columbia University","book","poetry","George","Core","","","","","","graduate","","","New And Collected Poems"
"Alan Cheuse","male","","judge","1989","Faulkner Award for Fiction","15,000","PEN America","book","prose","Alan","Cheuse","Q4706366","Alan Cheuse","17273573","n83800485","","graduate","","","Dusk"
"Frank Conroy","male","","judge","1989","Faulkner Award for Fiction","15,000","PEN America","book","prose","Frank","Conroy","Q1443099","Frank Conroy","66497136","n50032089","","","","","Dusk"
"James Salter","male","","winner","1989","Faulkner Award for Fiction","15,000","PEN America","book","prose","James","Salter","Q1395915","James Salter","85335264","n78094026","","","","","Dusk"
"Robert Coover","male","","judge","1989","Drue Heinz Literature Prize","15,000","University of Pittsburg Press","book","prose","Robert","Coover","Q1282338","Robert Coover","99874615","n80038251","University of Chicago","graduate","","","Cartographies"
"Peter Prescott","male","","judge","1989","Pulitzer Prize","15,000","Columbia University","book","prose","Peter","Prescott","Q15544954","Peter S. Prescott","22448479","n50028228","Harvard University","","","","Breathing Lessons"
"Jonathan Yardley","male","","judge","1989","Pulitzer Prize","15,000","Columbia University","book","prose","Jonathan","Yardley","Q15462185","Jonathan Yardley","69022113","n82269792","","","","","Breathing Lessons"
"Ron Hansen","male","University of Iowa","winner","1989","Arts and Letters Awards","10,000","American Academy of Arts and Letters","career","no genre","Ron","Hansen","Q3441396","Ron Hansen","75895","n78045940","Stanford University","graduate","776","Stegner",""
"Richard Ford","male","Univeristy of California, Irvine","winner","1989","Arts and Letters Awards","10,000","American Academy of Arts and Letters","career","no genre","Richard","Ford","Q547794","Richard Ford","109503268","n80113050","","graduate","","",""
"Davidr Slavitt","male","","winner","1989","Arts and Letters Awards","10,000","American Academy of Arts and Letters","career","no genre","Davidr","Slavitt","","","","","Yale University, Columbia University","graduate","","",""
"Joseph Parisi","male","","judge","1989","Ruth Lilly Poetry Prize","100,000","Poetry Foundation","career","poetry","Joseph","Parisi","","","","","University of Chicago","graduate","","",""
"Edgar Bowers","male","","winner","1989","Bollingen Prize for Poetry","10,000","Yale University","career","poetry","Edgar","Bowers","Q3719044","Edgar Bowers","61594012","n85812587","Stanford University","graduate","","Stegner",""
"Thom Gunn","male","","judge","1989","Bollingen Prize for Poetry","10,000","Yale University","career","poetry","Thom","Gunn","Q2141920","Thom Gunn","100054570","n79066390","Stanford University","graduate","","Stegner",""
"Tobias Wolff","male","","winner","1989","Whiting Award","50,000","Whiting Foundation","career","no genre","Tobias","Wolff","Q495754","Tobias Wolff","99001261","n81010525","Stanford University","graduate","","Stegner",""
"James Hadley Billington","male","","judge","1989","Poet Laureate","35,000","Library of Congress","career","poetry","James Hadley","Billington","Q137576","James H. Billington","54202464","n80020417","Princeton University","graduate","","",""
"John Ashbery","male","","judge","1989","Academy of American Poets Fellowship","25,000","Academy of American Poets","career","poetry","John","Ashbery","Q29418","John Ashbery","100001869","n79059269","Harvard University, Columbia University","graduate","","",""
"Allen Grossman","male","","winner","1989","MacArthur Fellowship","500,000","MacArthur Foundation","career","no genre","Allen","Grossman","Q4731664","Allen Grossman","12406276","n78088989","Harvard University","graduate","","",""
"Howard Nemerov","male","","judge","1989","Academy of American Poets Fellowship","25,000","Academy of American Poets","career","poetry","Howard","Nemerov","Q429011","Howard Nemerov","68933459","n78084908","Harvard University","graduate","","",""
