"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"GFX44GHK","book","1934","Millay, Edna St Vincent; Barney, Caroline Clark; Harper & Brothers","Wine from these grapes","","","","","","","1934","2024-10-29 15:06:43","2024-10-29 15:06:43","","","","","","","","","","","","","Harper & Brothers","New York and London","eng","","","","","onesearch.wesleyan.edu","YYP M64w","","","","","","1900-1999; 20th century; American poetry; Bookplates (Provenance); Poetry; Sonnets","","","","Barney, Caroline Clark; Harper & Brothers","","","","","","","","","","","","","","","","First edition.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LB6S6C3V","book","1889","Partridge, Bernard; Levy, Amy; Partridge, Bernard; Barney, Caroline Clark","A London plane-tree: and other verse","","","","","","","1889","2024-10-29 15:06:43","2024-10-29 15:06:43","","","","","","","","A London plane-tree","Cameo series","","","","T. Fisher Unwin","London","eng","","","","","onesearch.wesleyan.edu","YYP L668","","","","","","1800-1899; 19th century; English poetry; Poetry; Women authors","","","","Partridge, Bernard; Barney, Caroline Clark","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z9B44QSG","book","1842","Longfellow, Henry Wadsworth; Barney, Caroline Clark","Poems on slavery","","","","","","","1842","2024-10-29 15:06:43","2024-10-29 15:06:43","","","","","","","","","","","","","Published by John Owen","Cambridge","eng","","","","","onesearch.wesleyan.edu","PS2265 .A1 1842","","","","","","19th century; Didactic poetry; Poetry; Printers' advertisements; Slavery; United States","","","","Barney, Caroline Clark","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4XBXQMVP","book","1958","Layton, Irving; Barney, Caroline Clark; Layton, Irving; Barney, Caroline Clark; Williams, Jonathan; Paper Editions Corporation","A laughter in the mind","","","","","","","1958","2024-10-29 15:07:23","2024-10-29 15:07:23","","","","","","","","","Jargon","28","","","Jonathan Williams, publisher","Highlands, North Carolina","eng","","","","","onesearch.wesleyan.edu","YYP L429l","","","","","","1900-1999; 20th century; Autographs; Canadian poetry; Layton, Irving, 1912-2006","","","","Barney, Caroline Clark; Williams, Jonathan; Paper Editions Corporation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AQZJWGVN","book","1928","Barney, Caroline Clark; Millay, Edna St Vincent; Barney, Caroline Clark; Harper & Brothers","The buck in the snow & other poems","","","","","","","1928","2024-10-29 15:07:23","2024-10-29 15:07:23","","","","","","","","","","","","","Harper & Brothers Publishers","New York and London","eng","","","","","onesearch.wesleyan.edu","YYP M64b","","","","","","Poetry; Radicalism in literature","","","","Barney, Caroline Clark; Harper & Brothers","","","","","","","","","","","","","","","","First edition.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KPIR4PR4","book","1958","Williams, Jonathan; Fredericks, Claude; Duncan, Robert; Williams, Jonathan; Fredericks, Claude; Barney, Caroline Clark","Letters: poems mcmliii-mcmlvi","","","","","","","1958","2024-10-29 15:07:23","2024-10-29 15:07:23","","","","","","","","Letters","Jargon","14","","","Jonathan Williams","Highlands, North Carolina","eng","","","","","onesearch.wesleyan.edu","YYP D912l","","","","","","Poetry","","","","Williams, Jonathan; Fredericks, Claude; Barney, Caroline Clark","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AXXA658P","book","1964","George, Thomas; Williams, Jonathan; Johnson, Ronald; George, Thomas; Williams, Jonathan; Barney, Caroline Clark; Nantahala Foundation; Auerhahn Press","A line of poetry, a row of trees","","","","","","","1964","2024-10-29 15:07:23","2024-10-29 15:07:23","","","","","","","","","Jargon","42","","","The Nantahala Foundation","Highlands","eng","","","","","onesearch.wesleyan.edu","PS3560.O386 L5","","","","","","","","","","George, Thomas; Williams, Jonathan; Barney, Caroline Clark; Nantahala Foundation; Auerhahn Press","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PUH63T4S","book","1901","Barney, Caroline Clark; Yeats, W. B.; Barney, Caroline Clark; Masefield, John","Poems","","","","","","With introduction by W.B. Yeats, in which he informs of additional passages to 'The Land of heart's desire' and a new scene and additional passages to 'The Countess Cathleen'.","1901","2024-10-29 15:07:23","2024-10-29 15:07:23","","","","","","","","","","","","","T. Fisher Unwin","London","eng","","","","","onesearch.wesleyan.edu","PR5904 .P6 1901","ISSN: 1002-5170","","","","","1900-1999; 20th century; Drama; English poetry; Irish authors; Poetry; Yeats, W. B (William Butler), 1865-1939","","","","Barney, Caroline Clark; Masefield, John","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AM2DSZVF","book","1889","Barney, Caroline Clark; Yeats, W. B.; Barney, Caroline Clark","The wanderings of Oisin: and other poems","","","","","","","1889","2024-10-29 15:07:23","2024-10-29 15:07:23","","","","","","","","The wanderings of Oisin","","","","","Kegan Paul, Trench & Co.","London","eng","","","","","onesearch.wesleyan.edu","YYP Y5wn","","","","","","19th century; English poetry; Irish authors; Ossian, active 3rd century; Poetry","","","","Barney, Caroline Clark","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BMI6TUFP","book","1930","Sackville-West, V.; Auden, W. H.; Auden, W. H.; Sackville-West, V.; Auden, W. H.; Barney, Caroline Clark","Poems","","","","","","","1930","2024-10-29 15:07:23","2024-10-29 15:07:23","","","","","","","","","","","","","Faber & Faber","London","eng","","","","","onesearch.wesleyan.edu","YYP A89b","","","","","","1900-1999; 20th century; Drama; English; English drama; English poetry; Inscriptions (Provenance); Plays; Poems; Poetry","","","","Sackville-West, V.; Auden, W. H.; Barney, Caroline Clark","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8DETLFZX","book","1969","Gil, Lamberto; Burgos, Miguel de; Camões, Luís de; Gil, Lamberto; Burgos, Miguel de; Barney, Caroline Clark; Librería de LP Villaverde","Obras poéticas de Luis de Camoens","","","","","","","1969","2024-10-29 15:07:23","2024-10-29 15:07:23","","","","","","","","","","","","","Librería de L.P. Villaverde","Madrid","spa","","","","","onesearch.wesleyan.edu","PQ9203.A2 G5 1818a","ISSN: 2189-0935","","","","","","","","","Gil, Lamberto; Burgos, Miguel de; Barney, Caroline Clark; Librería de LP Villaverde","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HIMUKVYU","book","1965","Barney, Caroline; Pound, Ezra; Kokoschka, Oskar; Barney, Caroline; Kokoschka, Oskar","The Seafarer","","","","","","","1965","2024-10-29 15:07:23","2024-10-29 15:07:23","","","","","","","","","Ars Librorum Druck","11","","","Ars Librorum","Frankfurt am Main","eng","","","","","onesearch.wesleyan.edu","Js Illus. K79 1965","","","","","","Lithographs; Poetry; Portraits; Pound, Ezra, 1885-1972; Sailors","","","","Barney, Caroline; Kokoschka, Oskar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A8MDBV6B","book","1921","Ivins, Florence Wyman; Van Rensselaer, Schuyler; Ivins, Florence Wyman; Barney, Caroline Clark; Cairns Collection of American Women Writers; Merrymount Press","Many children","","","","","","","1921","2024-10-29 15:07:23","2024-10-29 15:07:23","","","","","","","","","","","","","Atlantic Monthly Press","Boston","eng","","","","","onesearch.wesleyan.edu","YYP V27","","","","","","American poetry","","","","Ivins, Florence Wyman; Barney, Caroline Clark; Cairns Collection of American Women Writers; Merrymount Press","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SQSH63DW","book","1880","Barney, Caroline; Arnold, Matthew; Wordsworth, William; Barney, Caroline; Arnold, Matthew; Reed, Mark L.; Macmillan & Co; R & R Clark","Poems of Wordsworth","","","","","","","1880","2024-10-29 15:07:23","2024-10-29 15:07:23","","","","","","","","","Golden treasury series","","","","Macmillan and Co.","London","eng","","","","","onesearch.wesleyan.edu","PR5852 .A7 1880","","","","","","1880; Bookseller's label; England; Inscriptions (Provenance); London; Publishers' advertisements; Wordsworth, William, 1770-1850","","","","Barney, Caroline; Arnold, Matthew; Reed, Mark L.; Macmillan & Co; R & R Clark","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
