Location Name,Title,Permanent Call Number,Author
Hallock Collection,Address.,E53xc7,"Emerson, Ralph Waldo, 1803-1882."
Hallock Collection,"Addresses at the complimentary dinner to Dr. Benjamin Apthorp Gould : Hotel Vendome, Boston, May 6, 1885.",H75xa,
Hallock Collection,"Addresses at the inauguration of Jared Sparks, LL. D., as president of Harvard college, Wednesday, June 20, 1849.",H75xh3,Harvard University.
Hallock Collection,"After London, or, Wild England /",J45a,"Jefferies, Richard, 1848-1887, author."
Hallock Collection,"After all, not to create only : recited by Walt Whitman on invitation of managers, American Institute, on opening their 40th annual exhibition, New York, noon, September 7, 1871.",W61a,"Whitman, Walt, 1819-1892."
Hallock Collection,"After the stock market crash of November, 1929, a supplementary chapter to the Psychology of speculation issued in 1926,",H29af,"Harper, Henry Howard, 1871-1953."
Hallock Collection,Aftermath /,L85a,"Longfellow, Henry Wadsworth, 1807-1882."
Hallock Collection,Alnwick castle : with other poems /,H18ac,"Halleck, Fitz-Greene, 1790-1867."
Hallock Collection,Alnwick castle : with other poems.,H18aa,"Halleck, Fitz-Greene, 1790-1867."
Hallock Collection,"Alnwick castle, with other poems.",H18a,"Halleck, Fitz-Greene, 1790-1867."
Hallock Collection,"Amaryllis at the fair, a novel,",J45am,"Jefferies, Richard, 1848-1887."
Hallock Collection,"America of the fifties: letters of Fredrika Bremer,",E53yb8,"Bremer, Fredrika, 1801-1865."
Hallock Collection,American comedies /,P32a,"Paulding, James Kirke, 1778-1860."
Hallock Collection,"American literature, and other papers,",W62xw,"Whipple, Edwin Percy, 1819-1886."
Hallock Collection,"American poems, selected and original : vol. I.",A51,
Hallock Collection,Among my books /,L91am,"Lowell, James Russell, 1819-1891."
Hallock Collection,Among my books : second series /,L91amb,"Lowell, James Russell, 1819-1891."
Hallock Collection,Among my books : six essays. /,L91ama v.1,"Lowell, James Russell, 1819-1891."
Hallock Collection,An American primer /,W61am,"Whitman, Walt, 1819-1892."
Hallock Collection,"An account of the Pilgrim celebration at Plymouth, August 1, 1853 : containing a list of the decorations in the town and correct copies of the speeches made at the dinner table.",H75xp6,
Hallock Collection,"An address by Rev. Henry Neill and a poem by Oliver Wendell Holmes : delivered at the dedication of the Pittsfield (Rural) Cemetery, September 9th, 1850 ; with other matter, and a map of the grounds.",H75xp69,
Hallock Collection,An address delivered at the annual meeting of the Boston Microscopical Society.,H75a,"Holmes, Oliver Wendell, 1809-1894."
Hallock Collection,"An address delivered before the senior class in Divinity College, Cambridge, Sunday evening, 15 July, 1838 /",E53ad,"Emerson, Ralph Waldo, 1803-1882."
Hallock Collection,"An address delivered in the court-house in Concord, Massachusetts, on 1st August, 1844 : on the anniversary of the emancipation of the negroes in the British West Indies /",E53add,"Emerson, Ralph Waldo, 1803-1882."
Hallock Collection,"An analytical index to the works of Nathaniel Hawthorne, with a sketch of his life.",H39yo,"O'Connor, Evangeline M. (Evangeline Maria)"
Hallock Collection,An historical and biographical introduction to accompany the Dial as reprinted in numbers for the Rowfant Club,E53xd5ayc,"Cooke, George Willis, 1848-1923."
Hallock Collection,An old town by the sea.,A36o,"Aldrich, Thomas Bailey, 1836-1907."
Hallock Collection,"An oration, delivered before the Phi Beta Kappa Society, at Cambridge, August 31, 1837.",E53am,"Emerson, Ralph Waldo, 1803-1882."
Hallock Collection,"An oration, delivered before the Phi beta kappa society, at Cambridge, August 31, 1837.",E53ama,"Emerson, Ralph Waldo, 1803-1882."
Hallock Collection,"An oration, delivered before the literary societies of Dartmouth college, July 24, 1838.",E53o,"Emerson, Ralph Waldo, 1803-1882."
Hallock Collection,"Anne Gilchrist and Walt Whitman,",W61yg,"Gould, Elizabeth Porter, 1848-1906."
Hallock Collection,Astoria.,I72asg,"Irving, Washington, 1783-1859."
Hallock Collection,At sundown /,W62at,"Whittier, John Greenleaf, 1807-1892."
Hallock Collection,"At the graveside of Walt Whitman : Harleigh, Camden, New Jersey, March 30, 1892 ; and, Sprigs of lilac /",W61yt7,
Hallock Collection,Athens : and other poems ... /,P59a,"Pickering, Henry, 1781-1838."
Hallock Collection,"Atlantic almanac, 1869 /",H75xa8,
Hallock Collection,,L91xa,
Hallock Collection,Ausgewa?hlte Novellen /,P74tg,"Poe, Edgar Allan, 1809-1849."
Hallock Collection,Authors and friends by Annie Fields.,F46a,"Fields, Annie, 1834-1915."
Hallock Collection,"Autobiographia; or, The story of a life,",W61au,"Whitman, Walt, 1819-1892."
Hallock Collection,Autographs for freedom. [2d series] Ed. by Julia Griffiths.,E53xg,"Griffiths, Julia."
Hallock Collection,Autumn : from the Journal of Henry D. Thoreau /,T48a,"Thoreau, Henry David, 1817-1862, author."
Hallock Collection,"Baby Bell,",A36ba,"Aldrich, Thomas Bailey, 1836-1907."
Hallock Collection,Ballads of New England /,W62b,"Whittier, John Greenleaf, 1807-1892 author."
Hallock Collection,"Ballads, lyrics and sonnets : from the poetic works of Henry Wadsworth Longfellow.",L85b,"Longfellow, Henry Wadsworth, 1807-1882."
Hallock Collection,"Bedford sesqui-centennial celebration, Aug. 27, 1897 : historical discourse /",E53ys7,"Stearns, Jonathan F. 1808-1889. (Jonathan French),"
Hallock Collection,"Before the curfew, and other poems, chiefly occasional /",H75b,"Holmes, Oliver Wendell, 1809-1894."
Hallock Collection,Beitra?ge zur amerikanischen Litteratur- und Kulturgeschichte /,E92b,"Evans, E. P. 1831-1917, author. (Edward Payson),"
Hallock Collection,"Bevis, the story of a boy,",J45b,"Jeffries, Richard, 1848-1887."
Hallock Collection,"Biblical allusions in Poe,",P74yf7,"Forrest, William Mentzel, 1868-"
Hallock Collection,Biographie der jungen amerikanischen Dichterin Margarethe M. Davidson : aus dem Englischen /,I72big,"Davidson, Margaret Miller, 1823-1838."
Hallock Collection,Biography and poetical remains of the late Margaret Miller Davidson /,I72xd,"Irving, Washington, 1783-1859, author."
Hallock Collection,Bob; the story of our mocking-bird.,L28b,"Lanier, Sidney, 1842-1881."
